Item Number,Manufacturer Long Name,List Price,Item Weight
RCP1901986,RUBBERMAID COMMERCIAL PROD.,359.79,21.400
RCP1901987,RUBBERMAID COMMERCIAL PROD.,307.12,20.400
RCP1901988,RUBBERMAID COMMERCIAL PROD.,279.22,20.070
RCP1901989,RUBBERMAID COMMERCIAL PROD.,359.79,21.480
RCP1901990,RUBBERMAID COMMERCIAL PROD.,279.22,20.070
RCP1901991,RUBBERMAID COMMERCIAL PROD.,359.79,21.400
RCP1901992,RUBBERMAID COMMERCIAL PROD.,504.84,24.500
RCP1901993,RUBBERMAID COMMERCIAL PROD.,631.07,26.500
RCP1901994,RUBBERMAID COMMERCIAL PROD.,555.33,26.200
RCP1901995,RUBBERMAID COMMERCIAL PROD.,504.84,24.500
RCP1901996,RUBBERMAID COMMERCIAL PROD.,631.07,26.500
RCP1901997,RUBBERMAID COMMERCIAL PROD.,504.84,24.500
RCP1901998,RUBBERMAID COMMERCIAL PROD.,631.07,26.500
RCP1901999,RUBBERMAID COMMERCIAL PROD.,826.40,30.400
RCP1901WHI,RUBBERMAID COMMERCIAL PROD.,4.81,0.082
RCP1902000,RUBBERMAID COMMERCIAL PROD.,946.59,36.370
RCP1902001,RUBBERMAID COMMERCIAL PROD.,832.97,34.000
RCP1902002,RUBBERMAID COMMERCIAL PROD.,826.40,30.400
RCP1902003,RUBBERMAID COMMERCIAL PROD.,946.59,36.370
RCP1902004,RUBBERMAID COMMERCIAL PROD.,757.24,30.400
RCP1902005,RUBBERMAID COMMERCIAL PROD.,946.59,36.370
RCP1902006,RUBBERMAID COMMERCIAL PROD.,117.18,5.250
RCP1902007,RUBBERMAID COMMERCIAL PROD.,117.18,6.000
RCP1902008,RUBBERMAID COMMERCIAL PROD.,141.21,6.400
RCP1902010,RUBBERMAID COMMERCIAL PROD.,194.40,10.200
RCP1902459CT,RUBBERMAID COMMERCIAL PROD.,209.87,3.724
RCP1902465,RUBBERMAID COMMERCIAL PROD.,806.56,42.110
RCP1902466,RUBBERMAID COMMERCIAL PROD.,776.55,19.200
RCP1902467,RUBBERMAID COMMERCIAL PROD.,716.60,27.860
RCP1902468CT,RUBBERMAID COMMERCIAL PROD.,239.88,5.088
RCP1902701,RUBBERMAID COMMERCIAL PROD.,719.63,3.000
RCP1902702,RUBBERMAID COMMERCIAL PROD.,719.63,2.800
RCP1902703,RUBBERMAID COMMERCIAL PROD.,719.63,2.400
RCP1903200,,1273.42,7.200
RCP1903286,,957.84,7.200
RCP1903287,,972.69,7.200
RCP1903289,,1043.22,0.550
RCP1903290,,1076.67,10.000
RCP1905WHI,RUBBERMAID COMMERCIAL PROD.,8.49,0.228
RCP1906WHI,RUBBERMAID COMMERCIAL PROD.,11.13,0.258
RCP1913WHICT,RUBBERMAID COMMERCIAL PROD.,159.59,4.000
RCP1919270,RUBBERMAID COMMERCIAL PROD.,371.33,0.640
RCP1924648,RUBBERMAID COMMERCIAL PROD.,188.97,7.100
RCP1924649,RUBBERMAID COMMERCIAL PROD.,155.31,6.300
RCP1924650,RUBBERMAID COMMERCIAL PROD.,173.36,7.100
RCP1924781,RUBBERMAID COMMERCIAL PROD.,143.78,7.600
RCP1924782,RUBBERMAID COMMERCIAL PROD.,188.97,7.100
RCP1924783,RUBBERMAID COMMERCIAL PROD.,155.31,6.300
RCP1924784,RUBBERMAID COMMERCIAL PROD.,188.97,7.100
RCP1924785,RUBBERMAID COMMERCIAL PROD.,155.31,6.300
RCP1924786,RUBBERMAID COMMERCIAL PROD.,188.97,7.100
RCP1924787,RUBBERMAID COMMERCIAL PROD.,155.31,6.300
RCP1924788,RUBBERMAID COMMERCIAL PROD.,203.11,6.900
RCP1924789,RUBBERMAID COMMERCIAL PROD.,168.70,6.100
RCP1924790,RUBBERMAID COMMERCIAL PROD.,189.91,6.900
RCP1924801,RUBBERMAID COMMERCIAL PROD.,159.40,6.100
RCP1924802,RUBBERMAID COMMERCIAL PROD.,203.11,6.900
RCP1924803,RUBBERMAID COMMERCIAL PROD.,168.70,6.100
RCP1924804,RUBBERMAID COMMERCIAL PROD.,203.11,6.900
RCP1924805,RUBBERMAID COMMERCIAL PROD.,168.70,6.100
RCP1924806,RUBBERMAID COMMERCIAL PROD.,203.11,6.900
RCP1924807,RUBBERMAID COMMERCIAL PROD.,168.70,6.100
RCP1924808,RUBBERMAID COMMERCIAL PROD.,251.84,1.400
